pes,sobbs,pacs,spa
1.8,1.5,2.4,2
1.8,1.928571429,2.6,2.5
1.4,2.928571429,4.8,2.7
1.8,2,2.8,2.4
1.8,2.928571429,3.6,2.7
1.6,1.428571429,1.8,2.6
2.2,3,4.2,2.7
1.4,1.357142857,2.2,2.1
1.8,1.5,1.8,1.9
2,3.142857143,2.8,2.7
2.2,2.428571429,2.6,2.6
2.4,2.142857143,3.2,2.4
1.2,1.714285714,2.8,2.2
1.8,2.5,2.4,2.5
1.6,1.571428571,2.2,2.2
3.2,3.214285714,4.2,3.1
1.2,1.642857143,2.8,2.5
2,1.214285714,2.2,2.1
1.6,2.071428571,2,2.7
4.2,2.928571429,3,2.8
1.8,2.857142857,4,3.1
1.8,3.285714286,4,2.5
2.2,2.071428571,1,2.3
3.2,1.785714286,2.8,2.4
2.2,1.357142857,2.4,2.3
2.6,1.928571429,2.6,2.4
1.8,1.285714286,1.6,1.3
2.2,2.714285714,2.8,2.8
1,1.214285714,2.2,1.9
2.6,2.5,3.4,2.5
1.8,2,2,2.4
3,2.785714286,3.6,3.3
2,2.142857143,3,3
2.2,2.142857143,3.4,2.4
1,3.071428571,3.2,2.5
3.4,3,3.4,2.4
1,1.428571429,2.8,2.2
2.2,2.214285714,3,2.2
3,3,3,2.9
4,4,4.2,3.4
1.8,2.928571429,3,2.4
3,2,2.2,2.2
1.8,2.928571429,3.6,2.8
1.2,2.285714286,2.2,2
1,1,2.6,2.1
2,2.642857143,3.2,2.3
1,2.5,3,1.2
1.2,2.642857143,3.2,2.8
1,2.642857143,2.4,2.6
2.4,2.928571429,3.8,2.7
2.2,2.428571429,3.8,1.7
1.6,1.071428571,1.8,2
1.4,2.571428571,4,2.2
1.6,1.5,2,2
4.2,3.357142857,4.2,2.6
1.8,2.642857143,2.8,2.5
1.2,1.357142857,2.8,2
2.2,2.214285714,3,2.5
1,1,1,1
2,2.071428571,3.2,2.3
1.6,2.214285714,2.6,2.1
1.8,2.571428571,2.6,2.4
1.2,3.428571429,3,2.8
1.2,1.571428571,3.2,2.2
2.2,1.785714286,2.4,2.7
3,3.428571429,3.6,2.9
2.8,3,4,3.1
1.8,3.142857143,3.2,2.6
3.2,3.214285714,3.6,2.5
1.8,2.428571429,2.4,2.6
2.2,2,3,2.3
4,3,3.2,2.7
1.6,1.5,2.2,2.5
1.8,2.714285714,3.2,2.8
1.6,1.214285714,1.8,2.4
1.4,2,2.4,2
2.2,2.357142857,3.2,2.6
1.6,2.428571429,3.4,2.7
3,3.357142857,3.4,2.4
1.8,2.285714286,3.2,2.6
1.4,3.285714286,4.4,2.6
1.8,2.357142857,2.4,2.4
1.4,1.428571429,2,2.2
1.8,2.214285714,1.8,2.1
1.4,2.785714286,4.4,2.7
2,2.928571429,4,2.4
1.6,2.142857143,1.8,2.9
1.2,2.142857143,2.8,2
1,3.428571429,3.6,2.8
1,1.714285714,2.2,2.4
2.6,3.5,4.6,3.4
1.6,2.857142857,3.6,2.6
2.2,1.071428571,2.6,2.7
1,1.857142857,2.6,2
1,4.285714286,4.2,3.1
1.8,2.071428571,2.8,2.4
1,2.714285714,3.6,2.6
2,3.285714286,4.2,3.2
2.2,1.714285714,2.4,2.5
1.6,3.071428571,3.8,2.4
1.4,2,2.6,2.8
1.8,1.142857143,1.8,2.7
1.6,3.071428571,3,2.8
1.8,1.5,1.8,2
1.8,2,3,2.7
2,2.857142857,4,2.8
2.4,1.785714286,3,2.3
1.4,2.071428571,3.2,2.2
2.8,2.214285714,3.2,2.5
2.8,2.214285714,3.8,2.6
1,2.928571429,3,2.7
1,1.142857143,2,1.9
1.6,2.642857143,3.8,2.7
1,1.928571429,3.2,1.8
1.8,1.714285714,2.8,2
1.4,2.285714286,3.4,1.9
1,1.5,2.4,2.4
1.8,3.714285714,3.6,2.6
1.6,1.928571429,2.6,2.3
1.4,2.714285714,3.4,2.8
4.2,4.142857143,3.8,3.1
1.8,1.5,2.4,2.7
3.4,1.071428571,2.2,2.5
1.4,1.785714286,3.6,2.3
3.8,3.214285714,3.8,2.4
2,1.071428571,2.8,2.4
4,4,4,3
1,2.285714286,3.2,2.2
2.2,2.928571429,4.2,2.9
1.4,3,3.6,3.1
1.4,1.071428571,1.4,2.5
1.4,2.571428571,3.2,2.4
1.6,2,2.8,1.9
1,1,1,2.1
1,1.142857143,1.8,2
1.8,1.5,2.4,2.4
1.6,1.857142857,3,2.5
1.8,2.357142857,3.2,2.5
1.4,1.642857143,2.4,2
1.8,1,1.8,1.7
1.8,2.642857143,3.6,3.1
1.8,2.428571429,2.2,2.3
1,3.928571429,2.2,3.1
2.2,2.357142857,2.6,2.2
1.8,1.142857143,2,2
2,3.285714286,3.6,2.9
1.8,2.785714286,2.2,2.6
1.6,2.357142857,3.4,2.4
1,2.571428571,2.4,2.4
1,2,2,2
1,1.571428571,3.2,2.3
1,2.285714286,2.8,2.7
1,2,3,2.6
1.8,1.857142857,3.2,2.4
1,1,1,2
1.8,2.357142857,2.6,2
3,3.428571429,4,2.7
2,1.357142857,2.2,1.9
1.4,2.642857143,3.4,2.8
2.8,3.285714286,4,2.4
1,3,2.2,3.1
3.8,2.714285714,3,2.8
3,2.785714286,3.2,2.4
3,2.357142857,2.6,2.7
1.4,2.357142857,3.6,2.5
1,2.428571429,1.8,2.2
3,3.428571429,3.8,3
1,2.642857143,3.8,2.3
1.8,3.785714286,3.6,2.8
1.8,2.714285714,1.8,2.1
2.2,2,2.6,2.1
2.6,2.357142857,3.4,2.1
1.8,2.285714286,3,2.4
2.2,2.714285714,3.6,2.4
1,2.357142857,2.4,1.9
1.8,2.285714286,3,2.2
1.8,1.214285714,2.2,2
1.6,1,1.8,2.3
1,1.5,1.6,2.2
1.8,2.285714286,3.4,2.4
2.6,1.214285714,2.2,2.6
2.4,2.714285714,2.6,2.5
1.6,1.857142857,2.2,2.4
2.6,1.142857143,2,2.2
1,1.142857143,2,2
1,1.571428571,2.2,1.9
1.6,3,3.4,2.5
2,2.285714286,2.8,2.4
1.8,1.357142857,2.8,2.4
1.6,2.357142857,3.4,2.5
1,1.928571429,2.2,2.1
1.4,2,3.2,3.1
1.6,1.357142857,2.4,1.6
2,2.714285714,3.6,2.6
1.8,3.142857143,3.2,2.5
2,2,3,2.2
1.8,2,2.8,2.3
1,3,3.8,2.9
1,1.142857143,1.4,1.7
3.6,3.142857143,2.8,2.8
1.6,1.142857143,2,2.5
2.4,3.714285714,4,3
2,2.428571429,2.8,2.6
1.6,2,2.8,2.1
2.8,1.357142857,2,1.6
1.6,1.928571429,2.4,2
1.6,1.428571429,2,2.3
1.6,3.214285714,3,2.6
3,2.928571429,4.4,2.6
1,1.571428571,1.6,1.9
1,2.357142857,3.4,2.3
4.4,3.285714286,4.2,3.1
1.2,1.928571429,2.4,2.4
1.8,2.142857143,2.6,2.8
1,2.142857143,1.8,2.5
1.6,2.571428571,1.6,2.3
2.2,2.857142857,3.6,3.3
1,1,1.4,2.3
2,3.571428571,3,3.5
1.8,1.428571429,2.4,2.2
2.4,3,3.8,2.9
2.6,2.857142857,3.4,2.3
1.8,2.5,3,2.5
5,4.642857143,5,4
2.6,2.714285714,3.6,2.5
2.4,1.928571429,2.2,2.3
1.8,1.5,2.2,2.1
1.2,1.142857143,2.4,2.3
1.8,2.571428571,3.6,2.5
2,2.428571429,2.2,2.3
1,1,1,1.7
2.2,2.285714286,3.6,2.3
1,2.071428571,2.2,2.4
1.4,1.571428571,2.2,2.2
1.8,2.357142857,3,2.5
